loyalty_number,country,province,city,gender,education,salary,marital_status,loyalty_card,enrollment_type,enrollment_year,total_points,total_flights_taken
103304,Canada,Alberta,Banff,Male,Bachelor,67227.0,Married,Star,Standard,,62563.0,37.0
109612,Canada,Prince Edward Island,Charlottetown,Female,College,,Divorced,Aurora,Standard,,30477.0,17.0
128975,Canada,Ontario,Toronto,Male,Bachelor,75663.0,Married,Aurora,Standard,,43994.0,40.0
131463,Canada,British Columbia,Vancouver,Male,Bachelor,55406.0,Married,Star,Standard,,76409.0,52.0
164094,Canada,Ontario,Toronto,Female,Bachelor,92875.0,Divorced,Nova,Standard,,54507.0,32.0
170791,Canada,New Brunswick,Moncton,Female,College,,Married,Nova,Standard,,79382.0,54.0
176688,Canada,Ontario,Toronto,Female,Bachelor,86107.0,Divorced,Aurora,Standard,,38573.0,32.0
186469,Canada,Quebec,Tremblant,Male,Bachelor,84672.0,Married,Nova,Standard,,7969.0,4.0
187902,Canada,New Brunswick,Fredericton,Male,College,,Single,Star,Standard,,18989.0,12.0
197509,Canada,Manitoba,Winnipeg,Female,Bachelor,55898.0,Married,Nova,Standard,,46189.0,36.0
198147,Canada,Ontario,Toronto,Female,College,,Single,Aurora,Standard,,36639.0,25.0
198785,Canada,British Columbia,Dawson Creek,Male,Bachelor,68602.0,Married,Star,Standard,,721.0,1.0
215719,Canada,Alberta,Banff,Male,Master,111948.0,Married,Star,Standard,,8944.0,8.0
246935,Canada,New Brunswick,Fredericton,Female,Bachelor,53842.0,Married,Star,Standard,,68646.0,42.0
247050,Canada,Manitoba,Winnipeg,Male,Bachelor,75114.0,Divorced,Nova,Standard,,47072.0,31.0
270022,Canada,Ontario,Trenton,Male,College,,Single,Star,Standard,,33658.0,21.0
279967,Canada,British Columbia,West Vancouver,Female,Bachelor,66679.0,Married,Nova,Standard,,67192.0,34.0
285909,Canada,British Columbia,Vancouver,Female,Bachelor,57499.0,Married,Aurora,2018 Promotion,,132192.0,60.0
291148,Canada,Nova Scotia,Halifax,Male,Bachelor,73543.0,Married,Nova,Standard,,71341.0,47.0
300867,Canada,Ontario,Kingston,Male,College,,Married,Nova,Standard,,5716.0,5.0
302628,Canada,Quebec,Tremblant,Male,Bachelor,61718.0,Single,Star,Standard,,66382.0,46.0
313461,Canada,Quebec,Montreal,Female,Bachelor,46931.0,Divorced,Star,Standard,,81337.0,52.0
331669,Canada,Quebec,Montreal,Female,College,,Single,Nova,Standard,,9834.0,6.0
349670,Canada,British Columbia,Vancouver,Female,Bachelor,76316.0,Single,Star,Standard,,54024.0,39.0
355331,Canada,Ontario,Thunder Bay,Male,College,,Divorced,Star,Standard,,75018.0,51.0
374984,Canada,Quebec,Tremblant,Male,Bachelor,55983.0,Married,Nova,Standard,,35957.0,36.0
376630,Canada,Manitoba,Winnipeg,Female,Bachelor,54417.0,Single,Nova,Standard,,15615.0,12.0
426027,Canada,Ontario,Toronto,Female,College,,Single,Star,Standard,,44096.0,31.0
428765,Canada,Ontario,Toronto,Female,College,,Divorced,Aurora,Standard,,39140.0,21.0
430323,Canada,Ontario,Kingston,Male,Bachelor,85936.0,Married,Aurora,Standard,,43145.0,27.0
435097,Canada,British Columbia,Whistler,Female,Bachelor,57033.0,Married,Aurora,Standard,,60560.0,36.0
436901,Canada,Ontario,Kingston,Male,College,,Single,Star,Standard,,38215.0,27.0
438698,Canada,British Columbia,Kelowna,Male,Bachelor,75786.0,Married,Aurora,Standard,,0.0,0.0
453466,Canada,British Columbia,Victoria,Female,Bachelor,74320.0,Divorced,Nova,Standard,,22086.0,19.0
472488,Canada,British Columbia,Victoria,Male,Bachelor,90603.0,Married,Nova,Standard,,29079.0,19.0
488799,Canada,Ontario,Toronto,Female,Bachelor,64374.0,Married,Star,Standard,,76630.0,50.0
491253,Canada,New Brunswick,Moncton,Female,College,,Single,Star,Standard,,33958.0,27.0
493606,Canada,Quebec,Hull,Female,Bachelor,88321.0,Divorced,Nova,Standard,,0.0,0.0
523296,Canada,Ontario,Toronto,Male,College,,Single,Star,Standard,,47746.0,30.0
530235,Canada,Ontario,Toronto,Female,Bachelor,69720.0,Married,Star,Standard,,46497.0,35.0
556492,Canada,Alberta,Edmonton,Male,College,,Single,Nova,2018 Promotion,,224673.0,95.0
563086,Canada,British Columbia,Victoria,Female,College,,Married,Aurora,Standard,,67297.0,41.0
575123,Canada,Ontario,Ottawa,Female,College,,Married,Nova,Standard,,45502.0,32.0
576345,Canada,Alberta,Edmonton,Male,Bachelor,61302.0,Divorced,Nova,Standard,,50798.0,27.0
585978,Canada,Ontario,Ottawa,Female,Bachelor,76494.0,Married,Aurora,Standard,,42370.0,26.0
589840,Canada,Ontario,Thunder Bay,Male,College,,Married,Star,Standard,,42597.0,26.0
615617,Canada,Ontario,Toronto,Female,Bachelor,96663.0,Married,Nova,Standard,,42643.0,26.0
618461,Canada,Alberta,Banff,Female,College,,Married,Nova,Standard,,54603.0,39.0
625599,Canada,Quebec,Montreal,Female,Bachelor,52496.0,Married,Star,Standard,,71066.0,40.0
628952,Canada,Alberta,Banff,Female,Bachelor,56460.0,Married,Star,Standard,,48306.0,31.0
646935,Canada,Ontario,Kingston,Male,Bachelor,79283.0,Divorced,Star,Standard,,46559.0,29.0
662392,Canada,Ontario,Trenton,Female,College,,Single,Star,Standard,,1448.0,2.0
671115,Canada,Ontario,Toronto,Male,Bachelor,59386.0,Single,Aurora,Standard,,73693.0,49.0
673872,Canada,British Columbia,Vancouver,Female,College,,Single,Star,Standard,,5737.0,3.0
675409,Canada,Quebec,Hull,Male,Doctor,254724.0,Married,Aurora,Standard,,69955.0,44.0
691365,Canada,Ontario,Kingston,Male,Bachelor,52040.0,Married,Aurora,Standard,,0.0,0.0
697905,Canada,Quebec,Tremblant,Male,Bachelor,59622.0,Single,Star,Standard,,50402.0,40.0
755374,Canada,Manitoba,Winnipeg,Female,Bachelor,89853.0,Married,Nova,Standard,,55746.0,39.0
759899,Canada,Ontario,Toronto,Female,Bachelor,53394.0,Married,Aurora,Standard,,58197.0,36.0
764302,Canada,Ontario,Toronto,Female,College,,Married,Nova,Standard,,5333.0,3.0
765793,Canada,Ontario,Thunder Bay,Female,Bachelor,94325.0,Divorced,Nova,Standard,,44882.0,24.0
792698,Canada,Ontario,Trenton,Female,College,,Married,Star,Standard,,51588.0,26.0
856364,Canada,Quebec,Montreal,Female,Bachelor,69098.0,Married,Nova,Standard,,57564.0,35.0
862100,Canada,Quebec,Montreal,Male,Doctor,53429.0,Single,Star,Standard,,73281.0,45.0
863259,Canada,British Columbia,Vancouver,Male,College,,Single,Star,Standard,,75875.0,61.0
865977,Canada,Ontario,Toronto,Male,Bachelor,52775.0,Married,Star,Standard,,57607.0,41.0
868230,Canada,Ontario,Kingston,Female,Bachelor,48269.0,Married,Star,Standard,,68421.0,45.0
868552,Canada,Alberta,Banff,Female,Bachelor,60388.0,Married,Nova,Standard,,12309.0,7.0
873169,Canada,Saskatchewan,Regina,Male,Bachelor,48269.0,Married,Nova,Standard,,74607.0,44.0
885497,Canada,Ontario,Kingston,Male,College,,Single,Star,2018 Promotion,,104460.0,44.0
886439,Canada,Manitoba,Winnipeg,Male,College,,Single,Aurora,Standard,,83889.0,51.0
911920,Canada,British Columbia,West Vancouver,Male,Bachelor,87147.0,Married,Nova,Standard,,72885.0,45.0
918272,Canada,Nova Scotia,Halifax,Male,Bachelor,99756.0,Married,Nova,Standard,,56507.0,40.0
920162,Canada,New Brunswick,Fredericton,Male,Bachelor,72742.0,Married,Star,Standard,,61443.0,51.0
942194,Canada,British Columbia,Vancouver,Male,College,,Single,Star,Standard,,4299.0,3.0
945064,Canada,British Columbia,Vancouver,Female,Bachelor,75231.0,Single,Nova,Standard,,64337.0,43.0
966285,Canada,Quebec,Montreal,Male,College,,Single,Star,Standard,,33107.0,27.0
978907,Canada,Ontario,Toronto,Male,Bachelor,78218.0,Married,Aurora,Standard,,0.0,0.0
988178,Canada,Quebec,Montreal,Male,College,,Single,Star,Standard,,86527.0,63.0
995333,Canada,Ontario,Toronto,Male,Bachelor,77464.0,Single,Nova,Standard,,55056.0,38.0
