month_year,loyalty_number,year,month,total_flights,distance,points_accumulated,points_redeemed,dollar_cost_points_redeemed,start_of_the_year,start_of_the_quarter,start_of_the_month
10-2018,570784,2018,10,4,8328,8328.0,335,60,2018-01-01,2018-10-01,2018-10-01
10-2018,173834,2018,10,4,2952,2952.0,347,62,2018-01-01,2018-10-01,2018-10-01
10-2018,164947,2018,10,4,2020,2020.0,407,73,2018-01-01,2018-10-01,2018-10-01
10-2018,214995,2018,10,4,2052,2052.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,255951,2018,10,4,9380,9380.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,420126,2018,10,4,2236,2236.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,651605,2018,10,4,7344,7344.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,654890,2018,10,4,3688,3688.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,108264,2018,10,3,1575,1575.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,348085,2018,10,3,4182,4182.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,402251,2018,10,3,4206,4206.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,449084,2018,10,3,5472,5472.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,627354,2018,10,3,1653,1653.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,718491,2018,10,3,6897,6897.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,720197,2018,10,3,5949,5949.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,834733,2018,10,3,3963,3963.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,853039,2018,10,3,2619,2619.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,870687,2018,10,3,5895,5895.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,886764,2018,10,3,1539,1539.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,974715,2018,10,3,5340,5340.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,995877,2018,10,3,6948,6948.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,144402,2018,10,2,4948,4948.0,329,59,2018-01-01,2018-10-01,2018-10-01
10-2018,103340,2018,10,2,1548,1548.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,129515,2018,10,2,3012,3012.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,348475,2018,10,2,2550,2550.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,444259,2018,10,2,3438,3438.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,557752,2018,10,2,4682,4682.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,727446,2018,10,2,3474,3474.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,743510,2018,10,2,4266,4266.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,769891,2018,10,2,2944,2944.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,775304,2018,10,2,3310,3310.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,811139,2018,10,2,4722,4722.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,958800,2018,10,2,2122,2122.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,963644,2018,10,2,2246,2246.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,982446,2018,10,2,3880,3880.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,988043,2018,10,2,4176,4176.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,991419,2018,10,2,1902,1902.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,184206,2018,10,1,1130,1130.0,467,84,2018-01-01,2018-10-01,2018-10-01
10-2018,111584,2018,10,1,1327,1327.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,121095,2018,10,1,1099,1099.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,122858,2018,10,1,1468,1468.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,379041,2018,10,1,1047,1047.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,441439,2018,10,1,2458,2458.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,495912,2018,10,1,1415,1415.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,540551,2018,10,1,1981,1981.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,569880,2018,10,1,1166,1166.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,816763,2018,10,1,814,814.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,873488,2018,10,1,1351,1351.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,948489,2018,10,1,1027,1027.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,222702,2018,10,0,0,0.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,331995,2018,10,0,0,0.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,606344,2018,10,0,0,0.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,642401,2018,10,0,0,0.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,696026,2018,10,0,0,0.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,700650,2018,10,0,0,0.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,734838,2018,10,0,0,0.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,774249,2018,10,0,0,0.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,108440,2018,10,0,0,0.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,119690,2018,10,0,0,0.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,161103,2018,10,0,0,0.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,222425,2018,10,0,0,0.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,242637,2018,10,0,0,0.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,243018,2018,10,0,0,0.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,253601,2018,10,0,0,0.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,256486,2018,10,0,0,0.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,272848,2018,10,0,0,0.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,368330,2018,10,0,0,0.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,395912,2018,10,0,0,0.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,430107,2018,10,0,0,0.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,432493,2018,10,0,0,0.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,452150,2018,10,0,0,0.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,484765,2018,10,0,0,0.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,538550,2018,10,0,0,0.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,539106,2018,10,0,0,0.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,557880,2018,10,0,0,0.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,574506,2018,10,0,0,0.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,623071,2018,10,0,0,0.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,665533,2018,10,0,0,0.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,694512,2018,10,0,0,0.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,719706,2018,10,0,0,0.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,745668,2018,10,0,0,0.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,761015,2018,10,0,0,0.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,861629,2018,10,0,0,0.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,872079,2018,10,0,0,0.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,899734,2018,10,0,0,0.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,997857,2018,10,0,0,0.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,560597,2018,10,0,0,0.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,631801,2018,10,8,6744,10116.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,692628,2018,10,0,0,0.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,792103,2018,10,4,7516,11274.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,797326,2018,10,0,0,0.0,0,0,2018-01-01,2018-10-01,2018-10-01
10-2018,797432,2018,10,0,0,0.0,0,0,2018-01-01,2018-10-01,2018-10-01
